k [h/Mpc]	D2 - halo model	2-halo	1-halo	halofit
0.03	0.02658587943376429	0.026077514871176266	0.0005083645625880248	0.02567605310034742
0.05	0.08210645869908233	0.0797535488072338	0.0023529098918485276	0.07844155312527899
0.07	0.16007539878365437	0.15362160472452188	0.0064537940591325	0.15233737501094063
0.09	0.2523040371705053	0.2385947089447294	0.013709328225775906	0.2406024846097239
0.11	0.35391389316575106	0.32890028277241373	0.025013610393337354	0.33971666356172525
0.13	0.4624670631171388	0.4212117254931399	0.04125533762399892	0.44824209831954426
0.15	0.5769541882350733	0.5136375580583286	0.06331663017674471	0.5658424650324475
0.17	0.6971834305316882	0.6051115604012671	0.09207187013042104	0.6927595277478588
0.19	0.823432329040168	0.6950457720210069	0.1283865570191611	0.829534192263196
0.21	0.9562487995364145	0.7831326165842363	0.17311618295217826	0.9768518205225734
0.23	1.0963354682334399	0.8692303386046282	0.22710512962881169	1.1354535537454167
0.25	1.2444811095119193	0.9532955199207214	0.29118558959119795	1.3060845077827632
0.27	1.4015192082157983	1.0353426942344939	0.3661765139813045	1.4894634268282625
0.29000000000000004	1.5683024527127791	1.1154198637261663	0.4528825889866129	1.6862652171173074
0.31000000000000005	1.7456867622506427	1.1935935191808402	0.5520932430698025	1.897111387613589
0.32999999999999996	1.9345211194907166	1.269939432508003	0.6645816869827136	2.1225654199686614
0.35	2.1356409925875584	1.3445370041235103	0.7911039884640482	2.36313123776784
0.37	2.3498640074950217	1.4174658240809483	0.9323981834140734	2.6192536262389092
0.39	2.5779870483873717	1.4888036231588844	1.0891834252284875	2.891319868477173
0.41000000000000003	2.8207842748076164	1.5586251009496404	1.2621591738579758	3.1796621225622475
0.43000000000000005	3.0790057338646535	1.6270013078243322	1.4520044260403213	3.4845602278973367
0.44999999999999996	3.3533763633150313	1.6939993752863722	1.659376988028659	3.8062447349391633
0.47	3.6445952550954517	1.759682463082312	1.8849127920131397	4.144900021845953
0.49	3.9533350956465476	1.8241098383423437	2.129225257304204	4.500667407641366
0.51	4.280241729318888	1.8873370321042324	2.3929046972146555	4.873648202462785
0.53	4.62593381047123	1.9494160380263754	2.676517772444855	5.26390665650125
0.55	4.991002522397524	2.0103955307559773	2.9806069916415465	5.6714727836594445
0.5700000000000001	5.3760113493632975	2.0703210896970057	3.3056902596662914	6.0963450459062365
0.5900000000000001	5.781495893324182	2.1292354193494205	3.652260473974762	6.538492891207023
0.61	6.20796373032314	2.1871785609492065	4.020785169373934	6.997859142703708
0.63	6.655894303754856	2.2441880924641686	4.411706211290688	7.474362240142041
0.65	7.125738853063064	2.3002993155098976	4.825439537553167	7.9678983368317855
0.67	7.617920377273501	2.3555454287175674	5.262374948555934	8.478343256975586
0.6900000000000001	8.132833633243896	2.4099576876920845	5.722875945551812	9.00555431922351
0.7100000000000001	8.670845168754802	2.463565552066969	6.207279616687833	9.549372032949245
0.7300000000000001	9.232293390651936	2.5163968203715283	6.715896570280407	10.10962167410431
0.75	9.81748866823779	2.5684777535318095	7.24901091470598	10.686114747664357
0.77	10.42671347203354	2.619833187865029	7.806880284168512	11.278650343690002
0.79	11.060222547917522	2.6704866384231467	8.389735909494375	11.887016393924863
0.81	11.718243126510087	2.720460393510781	8.997782732999307	12.51099083567429
0.8300000000000001	12.400975167527958	2.769775601157267	9.631199566370691	13.15034268947222
0.8500000000000001	13.108591638682084	2.8184523482693815	10.290139290412702	13.804833056768212
0.87	13.841238828545894	2.866509733134767	10.974729095411126	14.474216043563429
0.89	14.599036692679881	2.9139659318897615	11.68507076079012	15.158239615604844
0.91	15.382079232164777	2.960838259510695	12.421240972654083	15.856646390417348
0.93	16.19043490357142	3.007143225836143	13.183291677735276	16.569174371121314
0.9500000000000001	17.024147059280757	3.052896587079534	13.971250472201223	17.295557626651675
0.9700000000000001	17.883234416963074	3.0981133932471865	14.785121023715888	18.03552692266877
0.99	18.767691556931375	3.142808031836486	15.624883525094887	18.788810307133478
1.01	19.677489446000198	3.186994268151992	16.490495177848207	19.555133654211172
1.03	20.61257598640708	3.2306852825441155	17.381890703862965	20.334221169873782
1.05	21.572876588290587	3.273893704844991	18.298982883445596	21.12579586228699
1.07	22.558294764163676	3.3166316462490486	19.241663117914626	21.929579979801595
1.09	23.568712743777137	3.3589107288617277	20.20980201491541	22.745295419115177
1.11	24.603992107730917	3.4007421131177784	21.203249994613138	23.572664105932418
1.1300000000000001	25.663974438164438	3.4421365232513157	22.22183791491312	24.411408350230865
1.1500000000000001	26.7484819848371	3.4831042709819933	23.265377713855106	25.261251178031333
1.1700000000000002	27.857318344899657	3.5236552775662298	24.333663067333426	26.121916641382256
